Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2026-06-21T20:43:33.160Z,33.6528145,-117.3042013,390.6,3.41,-0.008,-0.010,1.001,0,0.48,-0.92,-0.36
2,2026-06-21T20:43:33.200Z,33.6528149,-117.3042013,390.6,3.45,0.000,-0.011,1.001,0,0.16,-0.66,-0.11
3,2026-06-21T20:43:33.240Z,33.6528152,-117.3042012,390.6,3.40,0.006,-0.012,1.002,0,0.06,-0.51,0.01
4,2026-06-21T20:43:33.280Z,33.6528153,-117.3042010,390.6,2.93,0.014,-0.012,1.002,0,0.07,-0.36,0.00
5,2026-06-21T20:43:33.320Z,33.6528156,-117.3042008,390.6,3.45,0.021,-0.012,1.002,0,0.03,-0.24,-0.01
6,2026-06-21T20:43:33.360Z,33.6528161,-117.3042007,390.6,3.53,0.024,-0.011,1.001,0,-0.06,-0.21,-0.20
7,2026-06-21T20:43:33.400Z,33.6528163,-117.3042006,390.6,3.41,0.026,-0.010,1.000,0,-0.35,-0.19,-0.36
8,2026-06-21T20:43:33.440Z,33.6528167,-117.3042004,390.6,3.62,0.029,-0.011,0.998,0,-0.96,0.08,-0.35
9,2026-06-21T20:43:33.480Z,33.6528173,-117.3042004,390.6,3.84,0.029,-0.013,0.997,0,-1.74,1.14,0.08
10,2026-06-21T20:43:33.520Z,33.6528175,-117.3042005,390.6,3.62,0.028,-0.017,0.998,0,-2.45,2.28,0.26
11,2026-06-21T20:43:33.560Z,33.6528179,-117.3042005,390.6,3.32,0.025,-0.021,0.999,0,-2.94,3.35,0.34
12,2026-06-21T20:43:33.600Z,33.6528181,-117.3042003,390.6,3.41,0.021,-0.023,1.001,0,-3.06,4.10,0.32
13,2026-06-21T20:43:33.640Z,33.6528186,-117.3042003,390.6,3.59,0.017,-0.023,1.002,0,-2.83,3.81,-0.11
14,2026-06-21T20:43:33.680Z,33.6528192,-117.3042002,390.6,3.95,0.015,-0.022,1.002,0,-2.39,2.90,-0.49
15,2026-06-21T20:43:33.720Z,33.6528198,-117.3042001,390.6,4.76,0.013,-0.020,1.000,0,-1.91,1.97,-0.59
16,2026-06-21T20:43:33.760Z,33.6528203,-117.3042000,390.6,4.78,0.013,-0.019,0.998,0,-1.54,1.11,-0.56
17,2026-06-21T20:43:33.800Z,33.6528205,-117.3041999,390.6,4.36,0.013,-0.018,0.997,0,-1.29,0.48,-0.45
18,2026-06-21T20:43:33.840Z,33.6528210,-117.3041996,390.5,4.62,0.014,-0.019,0.997,0,-1.13,0.40,-0.09
19,2026-06-21T20:43:33.880Z,33.6528215,-117.3041994,390.5,4.69,0.014,-0.020,0.998,0,-1.01,0.35,0.08
20,2026-06-21T20:43:33.920Z,33.6528220,-117.3041993,390.5,4.66,0.014,-0.020,1.001,0,-0.90,0.27,0.23
21,2026-06-21T20:43:33.960Z,33.6528223,-117.3041993,390.5,4.42,0.013,-0.017,1.005,0,-0.83,0.15,0.41
22,2026-06-21T20:43:34.040Z,33.6528233,-117.3041992,390.5,4.55,0.013,-0.013,1.005,0,-0.77,0.03,0.63
23,2026-06-21T20:43:34.080Z,33.6528237,-117.3041990,390.5,4.72,0.013,-0.010,1.003,0,-0.71,-0.03,0.89
24,2026-06-21T20:43:34.120Z,33.6528242,-117.3041989,390.5,4.77,0.013,-0.006,1.000,0,-0.66,-0.05,1.19
25,2026-06-21T20:43:34.160Z,33.6528246,-117.3041988,390.5,4.71,0.014,-0.002,0.997,0,-0.63,-0.06,1.53
26,2026-06-21T20:43:34.200Z,33.6528252,-117.3041987,390.5,4.69,0.015,0.000,0.996,0,-0.61,-0.04,1.87
27,2026-06-21T20:43:34.240Z,33.6528257,-117.3041987,390.5,4.66,0.015,0.002,0.996,0,-0.63,-0.03,2.21
28,2026-06-21T20:43:34.280Z,33.6528260,-117.3041985,390.5,4.51,0.015,0.004,0.998,0,-0.68,-0.05,2.54
29,2026-06-21T20:43:34.320Z,33.6528265,-117.3041984,390.5,4.83,0.015,0.004,1.000,0,-0.75,-0.07,2.85
30,2026-06-21T20:43:34.360Z,33.6528271,-117.3041983,390.5,4.97,0.015,0.003,1.001,0,-0.82,-0.07,3.14
31,2026-06-21T20:43:34.400Z,33.6528276,-117.3041982,390.5,5.04,0.015,0.000,1.000,0,-0.89,-0.06,3.40
32,2026-06-21T20:43:34.440Z,33.6528281,-117.3041981,390.5,5.08,0.016,-0.002,0.999,0,-0.96,-0.05,3.63
33,2026-06-21T20:43:34.480Z,33.6528285,-117.3041981,390.5,5.12,0.016,-0.005,0.998,0,-1.02,-0.03,3.80
34,2026-06-21T20:43:34.520Z,33.6528290,-117.3041980,390.5,5.11,0.016,-0.007,0.998,0,-1.07,-0.01,3.94
35,2026-06-21T20:43:34.560Z,33.6528296,-117.3041980,390.5,5.18,0.014,-0.010,1.001,0,-1.12,-0.01,4.04
36,2026-06-21T20:43:34.600Z,33.6528302,-117.3041979,390.5,5.74,0.013,-0.011,1.004,0,-1.11,-0.02,4.10
37,2026-06-21T20:43:34.640Z,33.6528307,-117.3041978,390.5,5.63,0.012,-0.014,1.005,0,-1.08,-0.02,4.15
38,2026-06-21T20:43:34.680Z,33.6528313,-117.3041975,390.5,5.52,0.011,-0.015,1.005,0,-1.00,0.00,4.19
39,2026-06-21T20:43:34.720Z,33.6528319,-117.3041975,390.5,5.47,0.011,-0.016,1.002,0,-0.92,0.04,4.23
40,2026-06-21T20:43:34.760Z,33.6528324,-117.3041975,390.5,5.57,0.011,-0.016,0.999,0,-0.83,0.12,4.27
41,2026-06-21T20:43:34.800Z,33.6528330,-117.3041973,390.5,5.60,0.010,-0.015,0.997,0,-0.76,0.19,4.32
