ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
23540595;48.5;51.5;0;0;0;-80.6;47.26;9.01;0.24;47.47;2561;0.242;1.053;0.1279;51.2484;6.3603;626862;635420;305.874;0;61;-1.515;5.95;23540495;1.0528;0.1279;51.2382;6.3603;0.906;431.123;4.48;27.1;1.364;3215.4;3259.3;1;23540496;0.0216264;0.0532015;0.263566;0.447467;-0.0123943;1.00057;25.3815;7.52167;-2.09763;23539999;-37.71097146;145.03607005;82.90881977;0.00000000;0.00000000;4.73950092;3.37070736;
23540645;48.7;51.5;0;0;0;-79;50.17;9.75;-0.27;50;2617;0.228;1.0532;0.1279;51.2567;6.3603;626878;635436;318.327;0;61;-1.435;6.134;23540596;1.053;0.1279;51.2484;6.3603;0.905;430.454;11.09;58.4;1.313;3215.52;3259.42;1;23540596;-0.032574;0.0320044;0.259942;-0.0472331;0.0876199;1.02131;28.7406;0.91242;4.30357;23539999;-37.71097146;145.03607005;82.90881977;0.00000000;0.00000000;4.73950092;3.37070736;
23540735;48.5;51.6;0;0;0;-78;44.55;8.72;0.23;44.59;2806;0.26;1.0534;0.1279;51.2671;6.3603;626903;635461;338.326;0;61;-1.66;6.191;23540645;1.0532;0.1279;51.2567;6.3603;0.904;429.95;7.63;40.88;1.342;3215.6;3259.5;1;23540647;-0.0662733;0.0493157;0.243451;-0.129206;0.388478;1.02536;0.820616;-2.12678;22.1051;23539999;-37.71097146;145.03607005;82.90881977;0.00000000;0.00000000;4.73950092;3.37070736;
23540797;48.7;51.6;0;0;0;-76.9;42.13;8.43;-0.29;41.97;2974;0.23;1.0535;0.1279;51.2743;6.3603;626922;635480;352.796;0;61;-1.494;6.355;23540735;1.0534;0.1279;51.2671;6.3603;0.902;429.321;10.08;48.14;1.44;3215.73;3259.63;1;23540735;-0.0579363;0.0521493;0.207505;-0.144289;-0.133941;1.02167;-3.2681;4.70939;22.029;23539999;-37.71097146;145.03607005;82.90881977;0.00000000;0.00000000;4.73950092;3.37070736;
23540885;48.6;51.7;0;0;0;-78.2;34.63;6.93;0.11;34.7;3193;0.257;1.0537;0.1279;51.2823;6.3603;626951;635509;15.6536;0;61;-1.582;6.272;23540797;1.0535;0.1279;51.2743;6.3603;0.902;428.926;6.02;32.88;1.525;3215.83;3259.72;1;23540797;-0.0431857;0.0698649;0.183;-0.231358;0.047797;1.01189;-8.72768;-4.5173;25.8271;23539999;-37.71097146;145.03607005;82.90881977;0.00000000;0.00000000;4.73950092;3.37070736;
23540947;48.7;51.7;0;0;0;-77.2;36.18;7.22;-0.13;36.06;3243;0.241;1.0538;0.1279;51.2885;6.3603;626971;635529;31.0125;0;61;-1.418;6.365;23540885;1.0537;0.1279;51.2823;6.3603;0.901;428.51;9.5;45.02;1.638;3215.98;3259.88;1;23540895;-0.00892916;0.0543693;0.141954;-0.215577;0.0763364;1.01569;-40.2246;8.45847;31.7643;23539999;-37.71097146;145.03607005;82.90881977;0.00000000;0.00000000;4.73950092;3.37070736;
23541014;48.4;51.8;0;0;0;-77.5;44.42;9.56;0.44;44.61;3273;0.295;1.054;0.1279;51.2957;6.3603;626991;635549;46.3813;0;61;-1.924;6.794;23540947;1.0538;0.1279;51.2885;6.3603;0.9;428.205;7.22;35.59;1.664;3216.08;3259.98;1;23540947;0.0366295;0.0629595;0.107647;-0.0858302;-0.481121;0.998894;-29.5419;-2.21444;31.8813;23539999;-37.71097146;145.03607005;82.90881977;0.00000000;0.00000000;4.73950092;3.37070736;
23541097;48.7;51.8;0;0;0;-78.6;50.82;11.45;-0.36;50.67;3322;0.235;1.0543;0.1279;51.3102;6.3603;627021;635579;69.946;0;61;-2.01;7.095;23541014;1.054;0.1279;51.2957;6.3603;0.899;427.79;13.76;57.7;1.679;3216.18;3260.08;1;23541014;0.0729726;0.0455985;0.0829767;0.076222;-0.6423;1.02194;28.1835;-6.01124;14.0973;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541162;48.7;51.9;0;0;0;-78.3;36.05;7.16;-0.19;36.06;3287;0.239;1.0544;0.1279;51.316;6.3603;627040;635598;85.0672;0;61;-1.638;6.322;23541097;1.0543;0.1279;51.3102;6.3603;0.897;426.925;6.76;34.89;1.702;3216.34;3260.23;1;23541130;0.0194942;0.0518776;0.0557082;0.088093;-0.0366127;1.02919;3.60011;7.47537;14.9076;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541245;48.6;51.9;0;0;0;-79.8;41.55;8.53;0.33;41.58;3211;0.25;1.0546;0.1279;51.3263;6.3603;627069;635627;107.393;0;61;-1.678;6.537;23541163;1.0544;0.1279;51.316;6.3603;0.897;426.648;7.2;36.19;1.685;3216.44;3260.34;1;23541185;0.0131463;0.055581;0.0401065;-0.0462895;-0.117355;1.02325;6.74375;3.81095;15.7504;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541335;48.4;52;0;0;0;-79.5;52.87;11.93;0;52.92;3267;0.283;1.0549;0.1279;51.3403;6.3603;627099;635657;130.397;0;61;-2.169;7.118;23541245;1.0546;0.1279;51.3263;6.3603;0.896;426.09;8.6;42.49;1.646;3216.58;3260.48;1;23541247;0.0149318;0.0506947;0.0238661;0.378081;0.129696;1.01837;-4.42399;-5.28692;17.0714;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541397;48.3;52;0;0;0;-79.4;52.27;12.04;0.14;52.31;3376;0.295;1.0551;0.1279;51.3499;6.3603;627119;635677;146.489;0;61;-2.377;7.296;23541335;1.0549;0.1279;51.3403;6.3603;0.894;425.204;11.92;51.13;1.676;3216.74;3260.63;1;23541335;0.0189889;0.0483516;-0.0101587;-0.120757;0.0504943;1.0254;-15.8531;-7.43676;22.0662;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541464;47.5;52;0;0;0;-80.5;71.26;19.21;0.55;71.62;3467;0.399;1.0554;0.1279;51.3638;6.3603;627140;635698;163.024;0;61;-2.86;8.318;23541398;1.0551;0.1279;51.3499;6.3603;0.892;424.625;13.21;54.75;1.733;3216.84;3260.74;1;23541398;0.0360782;0.0522026;-0.0373758;-0.125618;-0.226777;1.02818;-2.64604;-12.4624;29.702;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541546;47.3;52.1;0;0;0;-82.4;100.55;31.69;-0.44;100.53;3820;0.395;1.0562;0.1279;51.401;6.3603;627175;635733;189.523;0;61;-3.678;9.771;23541464;1.0554;0.1279;51.3638;6.3603;0.89;423.603;29.83;97.22;1.778;3216.95;3260.85;1;23541464;0.0469949;0.0295554;-0.0641708;0.0453279;-0.0803339;1.0427;5.51459;-6.09471;22.3342;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541614;48.5;52.2;0;0;0;-82.4;68.74;20.49;-0.94;68.13;4226;0.275;1.0565;0.1279;51.4193;6.3603;627202;635760;210.905;0;61;-1.317;9.238;23541546;1.0562;0.1279;51.401;6.3603;0.884;420.775;30.74;92.6;1.965;3217.13;3261.03;1;23541546;0.0418784;0.0543237;-0.092515;-0.350677;-0.119027;1.07159;26.9806;-15.7014;8.77225;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
23541697;48.5;52.2;0;0;0;-83.1;31.28;7.16;0.01;31.3;4140;0.265;1.0567;0.1279;51.4281;6.3603;627240;635798;240.198;0;61;0.279;7.388;23541614;1.0565;0.1279;51.4193;6.3603;0.882;419.554;8.05;34.89;2.168;3217.27;3261.17;1;23541634;0.0090377;0.0539956;-0.12665;0.282774;-0.236829;1.02228;11.4782;20.4757;37.4151;23540999;-37.71097684;145.03607566;82.97759828;0.00000000;0.00000000;4.74394741;3.36444646;
